final_diseases,,,,,
Country,Measles,Covid-19,Cholera,,
United Arab Emirates,98,104180.94,0,,
United Kingdom of Great Britain and Northern Ireland,63,0.0,0,,
United Republic of Tanzania,612,0.0,10061,,
United States of America,,0.0,0,,
Uruguay,0,307457.6,0,,
Uzbekistan,7,5011.083,0,,
Vanuatu,0,38391.758,0,,
Venezuela (Bolivarian Republic of),,0.0,0,,
Viet Nam,23,0.0,0,,
Yemen,23941,312.50916,245776,,
Zambia,1755,17361.84,20219,,
Zimbabwe,5532.0,16578.566,20135,,
